1,UNIQUE_HIDEOUT,HideoutConstructionKit
2,T1_FARM_CARROT_SEED,CarrotSeeds
3,T2_FARM_BEAN_SEED,BeanSeeds
4,T3_FARM_WHEAT_SEED,WheatSeeds
5,T4_FARM_TURNIP_SEED,TurnipSeeds
6,T5_FARM_CABBAGE_SEED,CabbageSeeds
7,T6_FARM_POTATO_SEED,PotatoSeeds
8,T7_FARM_CORN_SEED,CornSeeds
9,T8_FARM_PUMPKIN_SEED,PumpkinSeeds
10,T2_FARM_AGARIC_SEED,ArcaneAgaricSeeds
11,T3_FARM_COMFREY_SEED,BrightleafComfreySeeds
12,T4_FARM_BURDOCK_SEED,CrenellatedBurdockSeeds
13,T5_FARM_TEASEL_SEED,DragonTeaselSeeds
14,T6_FARM_FOXGLOVE_SEED,ElusiveFoxgloveSeeds
15,T7_FARM_MULLEIN_SEED,FiretouchedMulleinSeeds
16,T8_FARM_YARROW_SEED,GhoulYarrowSeeds
17,T3_FARM_OX_BABY,Journeyman'sOxCalf
18,T4_FARM_OX_BABY,Adept'sOxCalf
19,T5_FARM_OX_BABY,Expert'sOxCalf
20,T6_FARM_OX_BABY,Master'sOxCalf
21,T7_FARM_OX_BABY,Grandmaster'sOxCalf
22,T8_FARM_OX_BABY,Elder'sOxCalf
23,T3_FARM_OX_GROWN,Journeyman'sOx
24,T4_FARM_OX_GROWN,Adept'sOx
25,T5_FARM_OX_GROWN,Expert'sOx
26,T6_FARM_OX_GROWN,Master'sOx
27,T7_FARM_OX_GROWN,Grandmaster'sOx
28,T8_FARM_OX_GROWN,Elder'sOx
29,T3_FARM_HORSE_BABY,Journeyman'sFoal
30,T4_FARM_HORSE_BABY,Adept'sFoal
31,T5_FARM_HORSE_BABY,Expert'sFoal
32,T6_FARM_HORSE_BABY,Master'sFoal
33,T7_FARM_HORSE_BABY,Grandmaster'sFoal
34,T8_FARM_HORSE_BABY,Elder'sFoal
35,T3_FARM_HORSE_GROWN,Journeyman'sHorse
36,T4_FARM_HORSE_GROWN,Adept'sHorse
37,T5_FARM_HORSE_GROWN,Expert'sHorse
38,T6_FARM_HORSE_GROWN,Master'sHorse
39,T7_FARM_HORSE_GROWN,Grandmaster'sHorse
40,T8_FARM_HORSE_GROWN,Elder'sHorse
41,T6_FARM_DIREWOLF_BABY,DirewolfPup
42,T7_FARM_DIREBOAR_BABY,DireboarPiglet
